achievement_count,athlete_count,athlete.id,athlete.resource_state,average_cadence,average_heartrate,average_speed,comment_count,commute,display_hide_heartrate_option,distance,elapsed_time,elev_high,elev_low,end_latlng1,end_latlng2,external_id,flagged,from_accepted_tag,gear_id,has_heartrate,has_kudoed,heartrate_opt_out,id,kudos_count,location_country,manual,map.id,map.resource_state,map.summary_polyline,max_heartrate,max_speed,moving_time,name,photo_count,pr_count,private,resource_state,start_date,start_date_local,start_latitude,start_latlng1,start_latlng2,start_longitude,timezone,total_elevation_gain,total_photo_count,trainer,type,upload_id,upload_id_str,utc_offset,visibility,workout_type,average_watts,device_watts,kilojoules,max_watts,distance_km,distance_mi,elapsed_time_min,elapsed_time_hrs,moving_time_min,moving_time_hrs,wday,mday,yday,week,year,month,elapsed_hrs_cum_type,elapsed_dist_cum_type
5,1,23163300,1,NA,NA,7.992000000000001,0,FALSE,FALSE,3.4680999999999997,1694,299,285.1,38.037398,-84.520849,Ran 2.16 mi on 1-15-17.tcx,FALSE,FALSE,g2387136,FALSE,FALSE,FALSE,1067812081,0,United States,FALSE,a1067812081,2,{cdgF~|zbO`EaFeMaVaAeAmE|EgAnFhC|Se@rF_DdGkJpChFaAxFwFfA_I}BaRPsFfFkH`PrX_FbG,NA,15.120000000000001,1562,Run,0,3,FALSE,2,2017-01-15T17:58:13Z,2017-01-15T12:58:13Z,38.037264,38.037264,-84.520637,-84.520637,(GMT-05:00) America/New_York,25.5,0,FALSE,Run,1171660871,1171660871,-18000,everyone,NA,NA,NA,NA,NA,3.4680999999999997,2.1549767651,28.2,0.5,26,0.4,7,15,15,2017-01-09T00:00:00Z,2017,1,1694,2.1549767651
5,1,23163300,1,NA,NA,8.4816,0,FALSE,FALSE,3.7029,1847,298.2,285,38.03751,-84.520599,Ran 2.30 mi on 3-19-17.tcx,FALSE,FALSE,g2387136,FALSE,FALSE,FALSE,1067812088,0,United States,FALSE,a1067812088,2,mddgFf~zbOrEsGcXkf@eFoE}AaJiOgXxIfQb@|DzB~@hBrIlHnHjSb^pAtDiEpFe@k@,NA,21.6,1572,Evening Run,0,2,FALSE,2,2017-03-19T23:19:31Z,2017-03-19T19:19:31Z,38.037355,38.037355,-84.520837,-84.520837,(GMT-05:00) America/New_York,32.5,0,FALSE,Run,1171660880,1171660880,-14400,everyone,NA,NA,NA,NA,NA,3.7029,2.3008746759000003,30.8,0.5,26.2,0.4,7,19,78,2017-03-13T00:00:00Z,2017,3,3541,4.455851441
5,1,23163300,1,NA,NA,8.542800000000002,0,FALSE,FALSE,4.311100000000001,1981,298.2,285,38.037455,-84.520716,Ran 2.68 mi on 4-15-17.tcx,FALSE,FALSE,g2387136,FALSE,FALSE,FALSE,1067812118,0,United States,FALSE,a1067812118,2,gedgF~|zbO\xAOiBrEoD_BsE{Sw_@oH_I{BmGp@]uWgd@u@lAxKdJvKzWbAN|@jHpG~FxVxd@yEhG,NA,34.2,1817,Evening Run,0,5,FALSE,2,2017-04-15T22:53:00Z,2017-04-15T18:53:00Z,38.037488,38.037488,-84.520634,-84.520634,(GMT-05:00) America/New_York,35.4,0,FALSE,Run,1171660905,1171660905,-14400,everyone,NA,NA,NA,NA,NA,4.311100000000001,2.6787925181000003,33,0.6,30.3,0.5,6,15,105,2017-04-10T00:00:00Z,2017,4,5522,7.1346439591
4,1,23163300,1,NA,NA,8.049600000000002,0,FALSE,FALSE,4.038,1894,298.2,285.1,38.037451,-84.520766,Ran 2.51 mi on 6-15-17.tcx,FALSE,FALSE,g2387136,FALSE,FALSE,FALSE,1067812120,0,United States,FALSE,a1067812120,2,qedgF`}zbOjFaEW}AkVcd@_GoFyJkXsOmVi@|AtL`L|IhT`Bt@~@nGbKpMvSr_@qFnG,NA,16.92,1806,Run,0,0,FALSE,2,2017-06-15T15:03:12Z,2017-06-15T11:03:12Z,38.037535,38.037535,-84.520642,-84.520642,(GMT-05:00) America/New_York,35.4,0,FALSE,Run,1171660894,1171660894,-14400,everyone,NA,NA,NA,NA,NA,4.038,2.509096098,31.6,0.5,30.1,0.5,4,15,166,2017-06-12T00:00:00Z,2017,6,7416,9.6437400571
0,2,23163300,1,NA,NA,18.104400000000002,0,FALSE,FALSE,28.874200000000002,5891,258.7,217.7,39.993145,-86.136152,Rode 17.92 mi on 6-19-17.tcx,FALSE,FALSE,b3990177,FALSE,FALSE,FALSE,1067812316,0,United States,FALSE,a1067812316,2,idbsFdnvlO|AcE`OgMdWePvbCyCrPfFrTj[hO|FlnGBpAwBNtBlIzAvS`SzJzDjoAh@lo@uIzz@rOtZm@yYn@sz@_Pqh@hIesAIuK}BgToScLcDc@iBUjBaCDqoGYuLuGaRcYwMqF{hCtC{e@d^iA`E,NA,54.36,5742,Evening Ride,0,0,FALSE,2,2017-06-19T23:47:22Z,2017-06-19T19:47:22Z,39.993172,39.993172,-86.136184,-86.136184,(GMT-05:00) America/Indiana/Indianapolis,70.2,0,FALSE,Ride,1171660933,1171660933,-14400,everyone,NA,66.3,FALSE,380.7,NA,28.874200000000002,17.941590528200003,98.2,1.6,95.7,1.6,1,19,170,2017-06-19T00:00:00Z,2017,6,5891,17.941590528200003
0,1,23163300,1,NA,NA,21.0852,0,FALSE,FALSE,12.8611,4757,305.7,259.2,38.139156,-84.51058,66535542-E58B-439C-884A-878C866FA42E,FALSE,FALSE,b3990177,FALSE,FALSE,FALSE,1068035064,0,United States,FALSE,a1068035064,2,wiigFxzubOiHs@uK~My@|DiKeCyKmEWuCeCKaGsLl@mLaFm@_E{EeElC_FgEoN~Qo`@}LqBfJ_HdLmGtUqQjUcHcEqT_DqS{KsOFoHoBoKrOyGdXyGzG_HdSqDk@aI`SLpCkE~RsIcJoPkFT}GoJaFqGtKoM|IyEbQyQyIbAqJeEmBeCwFcDkB}EViTqKoDlGsC^uD}CmByHiDbBiCxJ`AnHmElBdFqBgAaE,NA,47.16,2196,Afternoon Ride,0,0,FALSE,2,2017-07-04T21:28:05Z,2017-07-04T17:28:05Z,38.063804,38.063804,-84.494684,-84.494684,(GMT-05:00) America/New_York,66,1,FALSE,Ride,1171886652,1171886652,-14400,everyone,10,95.8,FALSE,210.3,NA,12.8611,7.9915145681,79.3,1.3,36.6,0.6,2,4,185,2017-07-03T00:00:00Z,2017,7,10648,25.933105096300004
2,7,23163300,1,NA,NA,15.148800000000001,0,FALSE,FALSE,33.151,13712,236.6,210.6,39.76852,-86.153585,20170708_210055.gpx,FALSE,FALSE,b3990177,FALSE,FALSE,FALSE,1075483550,0,United States,FALSE,a1075483550,2,}gvqFl_zlOmgAmAk@iJyeBt@ie@cBaBmmA_vA_VsMfBq_@|TkKtBe`GpBaN`CnBhAMpGiGq@~Fz@NiI{CC_@tFqC?IoDvFuA_MjBJ|CrENdEhQhCh@|MnXi_@jBL`JxKnVjNnQ`MhCp~@iAn]n`@vC}Bfl@BN`Yr@|Alb@r@Dxa@bBfDhXhAp@bPtOjYfMqDbB|ChG|@c@tHjBx@A~PiFdCVbDlPsD|_@tBfb@`Q|EkDntCApByO~Qoc@UuDiF_H~Vw[pNqZ~AqtB|y@|@O|D,NA,29.880000000000003,7879,Dinner Ride,0,0,FALSE,2,2017-07-08T21:00:55Z,2017-07-08T17:00:55Z,39.768477,39.768477,-86.154301,-86.154301,(GMT-05:00) America/Indiana/Indianapolis,76.8,1,FALSE,Ride,1179433040,1179433040,-14400,everyone,10,39.8,FALSE,313.5,NA,33.151,20.599070021000003,228.5,3.8,131.3,2.2,6,8,189,2017-07-03T00:00:00Z,2017,7,24360,46.53217511730001
0,19,23163300,1,NA,NA,21.0564,0,FALSE,FALSE,29.734900000000003,5515,236.6,210,39.7683,-86.153531,A95944AC-B56B-4344-A974-0AEE8FD1F3CF,FALSE,FALSE,b3990177,FALSE,FALSE,FALSE,1074404120,1,United States,FALSE,a1074404120,2,{gvqF~uylOp@Gqz@{AaAh^?`Gt@P_@zB{A`@wqFaASnhAxCzJkB~KgFdEqOiWwLjEoQAeFhEaD]GoH`GPrBiEyKqAUohA{vAXa@|x@pArAz`@Ad@pb@xA|C|WvAjAzPzNnXpLmDjGdEd@lJpCJTxESrKmEjA_@hBv@bApNkDf]`BlUbGfOjIxE_D~C^`FrN|JfLbHvDh]aJhU^hDnCzGpT`FvBhI}CrFuGZei@lWCxBwNjRud@UwCkFkH`[_c@`DlB~[fCIri@cExZxEbPzQkMg@cs@|AojBxOk@PsNdCyCcCsIr@iR,NA,43.56,5084,Indy NITE Ride,0,0,FALSE,2,2017-07-09T02:56:13Z,2017-07-08T22:56:13Z,39.768461,39.768461,-86.152797,-86.152797,(GMT-05:00) America/Indiana/Indianapolis,89.3,1,FALSE,Ride,1178336586,1178336586,-14400,everyone,10,79.3,FALSE,403.2,NA,29.734900000000003,18.476404547900003,91.9,1.5,84.7,1.4,6,8,189,2017-07-03T00:00:00Z,2017,7,29875,65.0085796652
9,1,23163300,1,NA,NA,14.652000000000001,0,FALSE,FALSE,23.643900000000002,7144,305.7,259.2,38.063683,-84.494786,5BE35C66-B8F5-47D0-B9D8-9ADB3DB8D33B,FALSE,FALSE,b3990177,FALSE,FALSE,FALSE,1085196308,1,United States,FALSE,a1085196308,2,{qmgF~~tbOqRjo@aOvTkM{FgTcDsQeKyZgBkKhRkXxr@}DcAsDrMoChDLpDaFhR}HgJmPuETeH_KkFyFpKwMpIsFfR_QaJpAsIuMmNuFPyUeLkCvGyCd@iDeCsByI_DlBqClJl@|IcFdAwBmA_CjG{GdBsGwDvGnDvGwA`CmGvBtAbFoAe@mJpCkJ|CuAbBtHzDhDdDo@pByGtNxGiD}LbB_FoAlAOnDhDdL|EfChGO`F~HdF`DsArIzPlJpFuQfNoJxFcKzJrFSvG~OnEdIrJxEcQ@aFxC}D`DwL|Dx@fYys@jJeQvIlBxOIpR`LrSvCjM|FjNoSbHaY~JkWd_@rLrNyQ`EbExEoChEfFpFx@e@|KvG~LpBBd@lCdW~HxBaFhN}MzDzB,NA,41.4,5810,Leisurely,0,0,FALSE,2,2017-07-15T19:43:53Z,2017-07-15T15:43:53Z,38.085581,38.085581,-84.49024,-84.49024,(GMT-05:00) America/New_York,146.9,1,FALSE,Ride,1189315082,1189315082,-14400,everyone,10,45.1,FALSE,262,NA,23.643900000000002,14.6916337869,119.1,2,96.8,1.6,6,15,196,2017-07-10T00:00:00Z,2017,7,37019,79.70021345210002
1,1,23163300,1,NA,NA,19.965600000000002,0,FALSE,FALSE,3.9095999999999997,879,320,295,38.015208,-84.503561,1AF46397-9826-4C27-A8CA-21A0D0267280,FALSE,FALSE,b3990177,FALSE,FALSE,FALSE,1086993173,0,United States,FALSE,a1086993173,2,qvcgFjhvbOdCeCnTj]wFpIlFrIxc@xLtTnS~EmO`H}GrBKRmChEyErCwMhBfB_@~HbFg@,NA,34.92,705,To the arboretum,0,0,FALSE,2,2017-07-16T20:00:43Z,2017-07-16T16:00:43Z,38.036372,38.036372,-84.498653,-84.498653,(GMT-05:00) America/New_York,45.4,0,FALSE,Ride,1191159672,1191159672,-14400,everyone,10,101.8,FALSE,71.7,NA,3.9095999999999997,2.4293120615999997,14.7,0.2,11.8,0.2,7,16,197,2017-07-10T00:00:00Z,2017,7,37898,82.1295255137
