achievement_count,athlete_count,athlete.id,athlete.resource_state,average_cadence,average_heartrate,average_speed,comment_count,commute,display_hide_heartrate_option,distance,elapsed_time,elev_high,elev_low,end_latlng1,end_latlng2,external_id,flagged,from_accepted_tag,gear_id,has_heartrate,has_kudoed,heartrate_opt_out,id,kudos_count,location_country,manual,map.id,map.resource_state,map.summary_polyline,max_heartrate,max_speed,moving_time,name,photo_count,pr_count,private,resource_state,start_date,start_date_local,start_latitude,start_latlng1,start_latlng2,start_longitude,suffer_score,timezone,total_elevation_gain,total_photo_count,trainer,type,upload_id,upload_id_str,utc_offset,visibility,workout_type,average_temp,average_watts,device_watts,kilojoules,max_watts
0,1,23163300,1,84.3,151.3,8.6256,0,FALSE,TRUE,5.9453000000000005,2771,287.6,249.6,42.276763,-83.751499,garmin_push_6257766670,FALSE,FALSE,g7405469,TRUE,FALSE,FALSE,4772908344,10,United States,FALSE,a4772908344,2,{d`aGfud~N?c@`A@zAGfC?bACrBHx@CNDRlEBjFd@A\@Rd@lA@b@AH@\\d@N`@R`An@jBp@b@LjAA`@Qd@Ab@R`@Vb@DxACVBVVHC@BBGB?@AEL@b@GXA\@h@Hn@FPRHfBKF@D~@@bDH@lCAhAE~@JlAD^V\`@TX\r@`AnA`BBVf@`B?hBGB@FN\BBt@Fl@b@J^X\`@bAJ`@Tb@Wb@Q^[^a@tAk@d@Cd@Gb@?b@Gf@Cd@JNLbA\x@LXh@Ph@Vh@Jl@Dh@~ADb@L`@VJP_@nCIp@Ar@Dj@p@`EHr@Lj@`@Hb@Gb@M`Am@d@Et@aATe@]aB?o@Ui@y@i@c@Ki@aAa@W}@Ko@iA_@Ye@M_BESCCe@g@Pc@Cg@@a@CAD[XWGKc@M]kACg@@a@Og@?a@MY_@e@Kc@De@C_@R_@Ta@Oa@KE@OEc@U[_@q@YGq@Aq@CKe@KY?mAFiC@Ee@GESCmA{AYc@{@w@a@Oo@Lg@?GIa@O{@?yCFa@G[ICCGuEe@OiAD[S?s@B_AG{AAFe@Is@Co@De@Ea@S[]c@Ae@Pe@Fe@@eA]_CuAgAg@e@c@gBD]AiADoACyAFmAA}AFiA?_@UEuAAeBCcB@mCGk@e@AsAF@DAJBX,171,11.520000000000001,2481,Pioneer Woods w/ Sarah & Paul,0,0,FALSE,2,2021-02-11T22:11:02Z,2021-02-11T17:11:02Z,42.276782,42.276782,-83.751392,-83.751392,60,(GMT-05:00) America/Detroit,71.3,0,FALSE,Run,5093599493,5093599493,-18000,everyone,0,NA,NA,NA,NA,NA
0,1,23163300,1,NA,NA,0,0,FALSE,FALSE,0,600,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,4768144691,5,United States,TRUE,a4768144691,2,NA,NA,0,600,Hang board,0,0,FALSE,2,2021-02-11T00:30:00Z,2021-02-10T19:30:00Z,NA,NA,NA,NA,NA,(GMT-05:00) America/Detroit,0,0,FALSE,RockClimbing,NA,NA,-18000,everyone,NA,NA,NA,NA,NA,NA
0,1,23163300,1,82.2,152.5,7.7976,2,FALSE,TRUE,4.1563,1919,280.6,245.6,42.276784,-83.751158,garmin_push_6252694902,FALSE,FALSE,g5491554,TRUE,FALSE,FALSE,4767856037,11,United States,FALSE,a4767856037,2,_e`aGntd~NzBKH?BHDlEBx@CX@`BDr@NNJTBbBAlDAr@@dBAhCHzF@zB~DITb@Ln@Dp@DLHFJfEDzGA~BF`BAl@Lp@t@jCVd@TLFP^NrAPjA?`@ZFl@GjAOn@Gn@AdB}@N_@L]QQk@Ui@u@cAIi@@o@k@m@@q@Ik@s@Ks@?c@KSAgB?oBFkAJc@?Qc@S}ACEa@UGq@ISo@DkEHc@Ng@FQJa@FmC?mDDc@?_@GOm@BeBAo@TcLCiBLwC?o@Bu@CgB@O\[Bs@Co@BwABaEnAIz@IdEKhASMw@Es@Lk@Gq@Is@Mo@Eq@W}AGs@SgAEo@N]lAGjAMd@?`@CAy@S}BDCnBGd@GbAEL?NB,165,12.24,1919,Double tights day!,0,0,FALSE,2,2021-02-10T22:44:11Z,2021-02-10T17:44:11Z,42.276801,42.276801,-83.751273,-83.751273,49,(GMT-05:00) America/Detroit,43.6,0,FALSE,Run,5088362400,5088362400,-18000,everyone,0,NA,NA,NA,NA,NA
0,1,23163300,1,82.7,147.5,8.0316,0,FALSE,TRUE,5.5968,2509,284.8,249.8,42.276774,-83.75128,garmin_push_6247535117,FALSE,FALSE,g7405469,TRUE,FALSE,FALSE,4762619405,12,United States,FALSE,a4762619405,2,wc`aG`td~N@CB?JDf@FfABBTAv@Nr@Bz@DRBp@GjD@r@C^G`EBzCA|CFxCBdBCr@FvADBzDKBDB`@X@N~ATzFB`CAvDDnCAr@Jn@x@xCV`@RNLVTLXFxANb@?\FJRAZ?fBGJEn@?t@B`A?lAD|DGr@Wb@i@\_A^e@EoABgAKc@Dg@Hc@AeAa@iBMAF`AfBt@`A`@LLVFn@z@~@XFT?`@SV?d@J`@P`@Xb@Pb@An@B~@Nd@KPUf@Af@Tb@JH?@a@a@_BEq@Dc@IaAAs@Gq@@cBLuC?i@Qg@{@i@yAGKO?s@F{Ap@g@d@GjBIxAAjDWd@B^Jb@Db@Eb@U`@Fd@BjCWFa@Za@FW?s@EqCAqEGcB@yCKeHC}EGw@c@@qBP{FAs@@e@FwCBkCCqCDiCEkAHe@AWBe@?kAAaBFiA@EeB@iBAg@BkBIgBGkEAgDDiBAiEDs@?u@IiACiBEQo@DkA@,170,11.879999999999999,2509,Ebrrrrrwhite,0,0,FALSE,2,2021-02-09T22:23:21Z,2021-02-09T17:23:21Z,42.276609,42.276609,-83.751209,-83.751209,50,(GMT-05:00) America/Detroit,57,0,FALSE,Run,5082943758,5082943758,-18000,everyone,0,NA,NA,NA,NA,NA
0,1,23163300,1,59.9,121.2,0,0,FALSE,TRUE,0,2014,NA,NA,NA,NA,garmin_push_6245153244,FALSE,FALSE,NA,TRUE,FALSE,FALSE,4760217720,7,United States,FALSE,a4760217720,2,NA,148,0,2014,Morning HIIT,0,0,FALSE,2,2021-02-09T12:03:57Z,2021-02-09T07:03:57Z,NA,NA,NA,NA,8,(GMT-05:00) America/Detroit,0,0,TRUE,Workout,5080470334,5080470334,-18000,everyone,NA,NA,NA,NA,NA,NA
3,1,23163300,1,82.4,146.4,7.7616000000000005,2,FALSE,TRUE,4.1784,1946,283.7,249.8,42.276805,-83.751248,garmin_push_6236971337,FALSE,FALSE,g7180745,TRUE,FALSE,FALSE,4752276046,11,United States,FALSE,a4752276046,2,ok_aGv`e~NJBvA@z@Gd@BbA@A@_A@eBJcA@MA@E~AIb@EhA?e@FyBLc@@GER?~@KxBCs@FcBFs@?QI?Af@?xCKZ@DAs@HgAB[DaA?@ArBCXCf@@XEq@FaDHDr@CDSDRTj@T~Ax@fBv@f@Ld@Ab@ETMb@GrAj@d@D~@A`@AF@H`BDxBhABdBETD@tBFhCBb@b@?nBIhA?fBGb@L|@|@bBtBWJaAJsDDqA?u@BiA?kABWCcB@kA@kD@U@qBAUBkAB}A@kACeDDkCHiG?cBDe@?]CGoE@o@BEFq@Ce@GQEcB@eCGsBBu@Cs@BkEEuCLgBCuBG_@c@@]BeA@,170,11.16,1938,5x hills + easy sidewalks,0,1,FALSE,2,2021-02-07T18:40:13Z,2021-02-07T13:40:13Z,42.272722,42.272722,-83.753238,-83.753238,32,(GMT-05:00) America/Detroit,76.9,0,FALSE,Run,5072228532,5072228532,-18000,everyone,0,NA,NA,NA,NA,NA
0,1,23163300,1,62.7,120.8,0,0,FALSE,TRUE,0,3643,NA,NA,NA,NA,garmin_push_6236970632,FALSE,FALSE,NA,TRUE,FALSE,FALSE,4752275785,8,United States,FALSE,a4752275785,2,NA,168,0,3643,A fun 5x5 workout for my 25th!,0,0,FALSE,2,2021-02-07T17:32:44Z,2021-02-07T12:32:44Z,NA,NA,NA,NA,20,(GMT-05:00) America/Detroit,0,0,TRUE,Workout,5072228235,5072228235,-18000,everyone,NA,NA,NA,NA,NA,NA
0,1,23163300,1,NA,103.4,0,0,FALSE,TRUE,0,1501,NA,NA,NA,NA,garmin_push_6231870358,FALSE,FALSE,NA,TRUE,FALSE,FALSE,4747027600,6,United States,FALSE,a4747027600,2,NA,143,0,1501,Arms w/ Zena & Alex,0,0,FALSE,2,2021-02-06T22:43:49Z,2021-02-06T17:43:49Z,NA,NA,NA,NA,4,(GMT-05:00) America/Detroit,0,0,TRUE,WeightTraining,5066770823,5066770823,-18000,everyone,NA,NA,NA,NA,NA,NA
5,1,23163300,1,82.1,150.3,7.6032,0,FALSE,TRUE,10.1388,4990,295.7,236.2,42.276771,-83.751175,garmin_push_6231670769,FALSE,FALSE,g5491554,TRUE,FALSE,FALSE,4746800052,20,United States,FALSE,a4746800052,2,qkeaG`jc~NCu@Bs@b@yAZc@Lm@Ri@Vg@zAwAp@oADq@Gq@Mo@OcBDq@?o@Bu@F]Tg@^WDXUj@Yf@}@|@JTh@n@`@\f@AZ]bAm@Ve@Zc@d@W\[P_@dCmAp@KdBAtAN\HvAt@v@X`@Rr@p@bAp@ZZ~AvAhAhAvAfB`@R^QRm@Xe@FCZ`@Ll@FzCTj@`@X`@RjBf@fBt@rCr@`@RZb@Td@l@TVb@\^f@B`@JRH\^rAb@T`@J`B@r@Jr@Uj@c@NkARkAJkA@e@Ae@Ig@O_@YiAIe@G_Dq@gAe@[e@a@Sc@MgAI]Ya@SmBiBWe@Qi@Mk@[a@e@K_@Aa@Ra@VYb@M\[NgASe@@i@Tc@JUCiA[OCc@FmAFWDw@f@c@Je@AWJKHc@L_@^[b@a@ZgANe@@a@H_@~@_AdBa@PEF@Dd@h@NHJILBn@|AAj@[d@Sf@Id@WbD_@T{ATm@PcB`A}@r@c@T_@VWZUf@m@z@Sn@On@Ql@g@vAo@dAM`ACp@@p@m@nAIl@Yd@c@xA_@d@Uh@Yd@a@VeAXyB~AYd@AJJp@Dl@s@lAQn@[xAFl@Td@`@L\Z`@PXVb@FVK\TDEBDMC@A?BD?NJNVDZDLHJ`@KCAz@Jd@Bd@JNVJb@Hl@Z\`@R\Ap@k@fAY`@U`Ao@b@?v@\|@f@HBb@?j@^`@b@@RGp@HZX`@d@?hA]bAOh@O~@Kd@D|@\b@G`@Mb@Jb@K`@QRi@^Ub@KRW@s@Gm@Cs@a@y@Ec@Ao@Is@De@Bs@AqBDs@Jm@hA[T]Pa@PQ?KDGd@IbBCf@GTGbAOb@I|ACjATpA@jAHb@Ap@Bl@VFIz@kCh@qAfAwCZ[z@sB`@KV?LQNIb@E|@?f@BlB@lBCdAG|@Bd@EnC?^Ub@?lAGhABjAEf@BjAAhAEtB?lAGXBD^|@DbBK|DC`BGDD?HKh@b@ZfA^x@^hA`@fBv@|Ad@LF@HTRzA[d@C`A]jC?dCDf@A^Yb@Qb@ElABDEHgBBsAHq@?eAImCFEXGt@AjCDTF,168,13.68,4800,Lovely slow & snowy run in the woods,0,1,FALSE,2,2021-02-06T19:55:01Z,2021-02-06T14:55:01Z,42.303454,42.303454,-83.744485,-83.744485,112,(GMT-05:00) America/Detroit,106.1,1,FALSE,Run,5066534220,5066534220,-18000,everyone,0,NA,NA,NA,NA,NA
0,1,23163300,1,82.2,145.9,7.0524000000000004,0,FALSE,TRUE,4.8793999999999995,2491,283.6,248.1,42.276774,-83.751388,garmin_push_6225858717,FALSE,FALSE,g7405469,TRUE,FALSE,FALSE,4740846796,12,United States,FALSE,a4740846796,2,ge`aGrtd~NKISAu@FcBDYHKXMn@EhAFr@HlEAr@_@Re@BkAPEn@FdBTvC\|BFr@Hn@Ll@JnAJz@n@zDHp@D~@z@hHTdBLl@XbCDHdB_@dDK`B?v@Cp@At@FDvDB`AjAbENRVJN\LLxAVpA@b@TDh@?`BORGRAbAB~A?nCBdBEn@W\a@XY\_@PqDQe@?aAJgA_@e@KQ@a@M_@DAJp@rAl@~@^\PDLH@n@BDx@z@RJ^Fp@Sd@Fb@NhAr@PB`@GjAPZBd@E\[d@F^PXJR?@A?o@Mg@[}@HoAGe@AmAEs@?eBJ_CBO?i@Cc@WI{@c@e@?i@Ee@BUAe@Hc@A_@gAe@q@]]Mk@DkDOi@[_@Gq@Qi@]{AGaBMIIc@GSAeDBoC?q@O}DKuAKeCEEe@?kABe@DiA@Cq@A_JAcBG_B@mCAaB@gBEwC@kEGgCaCB?R,169,9.72,2491,Eberwhite ❄️,0,0,FALSE,2,2021-02-05T22:00:05Z,2021-02-05T17:00:05Z,42.276843,42.276843,-83.751291,-83.751291,42,(GMT-05:00) America/Detroit,47,0,FALSE,Run,5060332615,5060332615,-18000,everyone,0,NA,NA,NA,NA,NA
